# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
bian ji qi 	編輯器	c=1 d=1.40199e-34 t=15795
bian li 	便利	c=1 d=1.17307e-25 t=15795
bian liang 	變量	c=15 d=6.13404e-10 t=15795
bian lun 	辯論	c=2 d=0.0342403 t=15795
bian ma 	編碼	c=3 d=6.11565e-10 t=15795
bian ma 	變碼	c=1 d=4.2969e-34 t=15795
bian xian 	變現	c=5 d=0.235731 t=15795
bian xian an 	變現按	c=1 d=0.0042963 t=15795
bian xian tu 	變現圖	c=1 d=0.00511796 t=15795
bian xie 	編寫	c=1 d=4.79001e-18 t=15795
bian yi 	編譯	c=35 d=1.34525e-09 t=15795
bian yi qi 	編譯器	c=1 d=1.395e-34 t=15795
bian yu 	便於	c=5 d=3.443e-10 t=15795
bian zou 	邊走	c=1 d=9.53336e-27 t=15795
biao 	標	c=1 d=5.96142e-33 t=15795
biao 	飆	c=1 d=0.955997 t=15795
biao da 	表達	c=2 d=3.013e-24 t=15795
biao da shi 	表達式	c=4 d=2.73467e-11 t=15795
biao liang 	標量	c=4 d=3.16225e-10 t=15795
biao qian 	標籤	c=3 d=3.93908e-15 t=15795
biao ren 	彪人	c=1 d=5.93168e-33 t=15795
biao ren 	鏢人	c=1 d=5.9913e-33 t=15795
biao shi 	標識	c=1 d=9.40293e-12 t=15795
biao ti 	標題	c=1 d=6.24238e-16 t=15795
biao zhun 	標準	c=1 d=2.42959e-32 t=15795
bie ming 	別名	c=1 d=4.34244e-11 t=15795
bie qu 	憋屈	c=1 d=1.8727e-28 t=15795
bie ren 	別人	c=1 d=1.59473e-20 t=15795
bing 	並	c=7 d=1.65632e-09 t=15795
bing bu shi 	並不是	c=0 d=5.39612e-09 t=15795
bing bu shi hen qiang 	並不是很強	c=1 d=5.42317e-08 t=15795
bing fa bu 	併發布	c=1 d=3.22583e-14 t=15795
bing mei yo 	並沒喲	c=1 d=7.90975e-07 t=15795
bing mo 	病魔	c=1 d=1.05016e-17 t=15795
bing xiang 	冰箱	c=1 d=3.00458e-31 t=15795
bing zai 	並在	c=1 d=2.21173e-15 t=15795
bo 	博	c=2 d=6.21739e-20 t=15795
bo fang 	播放	c=2 d=3.21638e-20 t=15795
bo ke 	博客	c=23 d=0.0956944 t=15795
bo ke 	播客	c=2 d=0.726149 t=15795
bo ke zhan wu 	博客站務	c=1 d=7.28896e-16 t=15795
bo zhu 	博主	c=3 d=0.00139331 t=15795
bu 	不	c=16 d=0.00253934 t=15795
bu 	布	c=2 d=4.46712e-07 t=15795
bu an 	不安	c=1 d=9.00295e-30 t=15795
bu cha 	不差	c=1 d=2.09915e-18 t=15795
bu chong 	補充	c=1 d=2.27359e-16 t=15795
bu chou 	不愁	c=1 d=3.71628e-32 t=15795
bu cun zai 	不存在	c=3 d=8.98792e-10 t=15795
bu cuo 	不錯	c=8 d=0.181834 t=15795
bu da 	不大	c=1 d=1.13879e-29 t=15795
bu dai 	不帶	c=1 d=2.54012e-26 t=15795
bu dao 	不到	c=1 d=1.85697e-17 t=15795
bu deng yu 	不等於	c=1 d=0.250324 t=15795
bu duan 	不斷	c=1 d=0.00013845 t=15795
bu duo 	不多	c=0 d=2.29129e-20 t=15795
bu er 	布爾	c=2 d=4.36236e-07 t=15795
bu gan 	不敢	c=2 d=1.58133e-09 t=15795
bu gou 	不夠	c=2 d=5.40825e-05 t=15795
bu guan 	不管	c=2 d=2.18482e-18 t=15795
bu guo 	不過	c=6 d=1.37735e-28 t=15795
bu hao 	不好	c=6 d=1.25768e-19 t=15795
bu he 	不合	c=1 d=0.704688 t=15795
bu hui 	不會	c=2 d=3.36806e-11 t=15795
bu jian 	不見	c=1 d=2.78748e-31 t=15795
bu jian rong 	不兼容	c=1 d=2.54323e-11 t=15795
bu jiao 	不叫	c=0 d=2.16566e-33 t=15795
bu jiao shu xi 	不叫熟悉	c=1 d=2.17651e-32 t=15795
bu jin 	不僅	c=1 d=6.64102e-09 t=15795
bu jiu 	不久	c=1 d=2.65794e-30 t=15795
bu jiu 	補救	c=1 d=0.000113922 t=15795
bu ju 	佈局	c=1 d=1.42323e-05 t=15795
bu kai 	不開	c=0 d=0.00317456 t=15795
bu kai fang 	不開放	c=1 d=6.95734e-27 t=15795
bu kan 	不堪	c=1 d=7.60089e-09 t=15795
bu ling min 	不靈敏	c=1 d=2.07862e-20 t=15795
bu luan 	不亂	c=1 d=2.74458e-25 t=15795
bu mang 	不忙	c=2 d=1.59962e-19 t=15795
bu neng 	不能	c=7 d=0.0614212 t=15795
bu ping fan 	不平凡	c=1 d=0.0305009 t=15795
bu qi zuo yong 	不起作用	c=1 d=3.34643e-34 t=15795
bu qian ming 	不簽名	c=1 d=8.35981e-11 t=15795
